"GeoName","Year","Real GDP (millions of chained 2017 dollars) 1/","Chain-type quantity indexes for real GDP","Current-dollar GDP (millions of current dollars)","Compensation (millions of dollars)","Gross operating surplus (millions of dollars)","Taxes on production and imports (TOPI) less subsides (millions of dollars)","Taxes on production and imports (TOPI) (millions of dollars)","Subsidies (millions of dollars)"
"Georgia","2000",417713.5,71.582,305323.7,168919.8,117550.6,18853.2,19775.7,-922.5
"Georgia","2001",422731.6,72.442,316872.7,174541.7,123086.1,19245,20515.8,-1270.8
"Georgia","2002",427329.7,73.23,326017.9,177267.1,129229.6,19521.3,20763,-1241.7
"Georgia","2003",439074.6,75.243,339540.5,183617,135514.5,20409,21728,-1319
"Georgia","2004",461245.4,79.042,364530.1,193604.9,148849.1,22076,23062.2,-986.2
"Georgia","2005",480838.3,82.4,388707.2,204445.3,160698.9,23563,25017.5,-1454.5
"Georgia","2006",487524.9,83.546,405664.2,216322.5,163611.8,25729.9,26973.7,-1243.9
"Georgia","2007",492238.7,84.353,419384.8,226877.9,166709.4,25797.5,26932.3,-1134.8
"Georgia","2008",481860.3,82.575,416303.5,228875.9,161354.1,26073.5,27240.7,-1167.2
"Georgia","2009",464016.8,79.517,409876.2,221322,164232.1,24322,25657.4,-1335.4
"Georgia","2010",471588.2,80.815,419013.1,223495,170548.8,24969.3,26131.5,-1162.2
"Georgia","2011",481215.4,82.464,433137.1,231839.1,175594.5,25703.4,27022.5,-1319.1
"Georgia","2012",489027.3,83.803,449375.6,240168.6,182287.5,26919.4,28238.2,-1318.8
"Georgia","2013",499900.2,85.666,467559.5,248991.4,191335.9,27232.2,28526.2,-1293.9
"Georgia","2014",517511.9,88.684,493370.3,262379.5,202641.8,28349,29622.3,-1273.3
"Georgia","2015",540108.5,92.557,525516.8,276623.1,220053.9,28839.8,30111.2,-1271.4
"Georgia","2016",561718.3,96.26,554903.2,288174.8,236334.5,30393.9,31841.6,-1447.7
"Georgia","2017",583543.3,100,583543.3,301509.7,250876,31157.6,32559.2,-1401.5
"Georgia","2018",600934.7,102.98,612803.4,315574.7,262492.8,34735.9,36095.2,-1359.3
"Georgia","2019",620744.9,106.375,646695.8,329820.5,280520.5,36354.8,38071.1,-1716.3
"Georgia","2020",604745.9,103.633,640223.6,334600.6,288474.4,17148.6,37748.6,-20599.9
"Georgia","2021",643013.8,110.191,705546.7,366812.9,317258.8,21475,43672.8,-22197.8
"Georgia","2022",665678.1,114.075,779684,399745.8,335023.2,44915,47594.1,-2679.1
"Georgia","2023",678201.2,116.221,831827.7,421785,363869.5,46173.2,48217,-2043.8
"Georgia","1997",351183.9,60.181,242371.9,132277.2,94600.4,15494.2,16183.3,-689.1
"Georgia","1998",377705.9,64.726,265146.4,145075.8,103772.1,16298.5,17034.5,-736
"Georgia","1999",404465.2,69.312,289048.9,156240.2,115076.1,17732.5,18645.5,-913
"Hawaii","2000",60745.7,69.474,41089.4,23453,14191,3445.4,3593.9,-148.5
"Hawaii","2001",60446.4,69.132,42500.2,24633,14579.8,3287.3,3546.5,-259.2
"Hawaii","2002",62355.2,71.315,44949.5,26147.4,15307.1,3495.1,3651.3,-156.2
"Hawaii","2003",65623.7,75.053,48420.7,27920,16777.1,3723.6,3941.1,-217.5
"Hawaii","2004",69332,79.294,52625.7,29960.3,18452.4,4213,4382.4,-169.4
"Hawaii","2005",72941.9,83.423,57211.8,32001,20562.9,4648,4852.9,-204.9
"Hawaii","2006",74892.9,85.654,60848,33858.8,21905.3,5084,5283.2,-199.2
"Hawaii","2007",76434.1,87.417,64106,35748.3,22978.6,5379,5575.3,-196.3
"Hawaii","2008",76830.2,87.87,65545.5,36799.2,23378.7,5367.6,5562.6,-194.9
"Hawaii","2009",74118.5,84.769,64464.3,35998,23367.1,5099.3,5336.6,-237.3
"Hawaii","2010",76130.2,87.069,66739.3,36535.6,24825,5378.6,5592.3,-213.7
"Hawaii","2011",77174.2,88.263,68801.1,38137,24903.8,5760.4,5998.2,-237.8
"Hawaii","2012",78694,90.001,71645.6,39525.2,25897.4,6223.1,6454.5,-231.5
"Hawaii","2013",80534.9,92.107,74598.5,40805,27404.9,6388.6,6622.6,-234
"Hawaii","2014",81304.9,92.987,77043,42498.7,27732.5,6811.9,7058.3,-246.4
"Hawaii","2015",83857.6,95.907,81410.2,44519.2,29684.9,7206.1,7451.3,-245.2
"Hawaii","2016",85670.4,97.98,84287.2,46239.9,30624.5,7422.9,7661.3,-238.4
"Hawaii","2017",87436.4,100,87436.4,47715.4,31789.5,7931.5,8169.9,-238.3
"Hawaii","2018",88836.4,101.601,90933.5,49071.2,33134.5,8727.8,8972.6,-244.8
"Hawaii","2019",88855.2,101.623,93240.2,50408.1,33767.7,9064.4,9316.4,-252.1
"Hawaii","2020",79840.1,91.312,84885.8,47900.8,32296.4,4688.6,8296.9,-3608.4
"Hawaii","2021",84408.5,96.537,93400.4,51470.6,37140.1,4789.7,8471.2,-3681.5
"Hawaii","2022",86887.8,99.373,103153.1,54900.8,38042.5,10209.8,10737.3,-527.5
"Hawaii","2023",88614.3,101.347,110265.4,58751.1,41382.2,10132.1,10546.3,-414.2
"Hawaii","1997",60620.2,69.331,37701.7,21077,13541.3,3083.3,3260.8,-177.6
"Hawaii","1998",58946.1,67.416,37503,21562.7,12780.8,3159.5,3309.1,-149.5
"Hawaii","1999",59612.1,68.178,38970.4,22221.3,13548.6,3200.6,3344.3,-143.8
"Idaho","2000",49793,68.27,38344.1,20429.4,15773.4,2141.3,2434.9,-293.6
"Idaho","2001",48695.4,66.765,37740.9,20913,14666.9,2161.1,2424.3,-263.3
"Idaho","2002",49840.5,68.335,38990.7,21553.3,15030.6,2406.8,2630.3,-223.6
"Idaho","2003",51542.6,70.669,40778.6,22339.1,15814.5,2625,2851.3,-226.3
"Idaho","2004",55137.1,75.597,44732.9,23932.4,17892,2908.5,3137.4,-228.9
"Idaho","2005",59331.9,81.349,48805.1,25721.9,20103.8,2979.5,3264,-284.5
"Idaho","2006",60738.6,83.278,51099,28401.6,19543.8,3153.6,3381.4,-227.8
"Idaho","2007",61812.1,84.749,53712.4,29985.6,20464.8,3261.9,3471.4,-209.5
"Idaho","2008",63878.2,87.582,56203.6,29945.4,23077.2,3180.9,3416.1,-235.2
"Idaho","2009",61276.1,84.014,54507.9,28600.1,22871.8,3035.9,3305.5,-269.6
"Idaho","2010",62626.4,85.866,56086.2,28905.8,24091.5,3088.9,3359.3,-270.4
"Idaho","2011",62704,85.972,57418.2,29305.7,24844,3268.4,3520.1,-251.7
"Idaho","2012",62007.3,85.017,57933.7,30083.4,24454.6,3395.7,3648.9,-253.2
"Idaho","2013",64769.8,88.805,61712.6,31774.9,26332,3605.8,3878.9,-273.2
"Idaho","2014",66784.9,91.568,64501.7,33037.2,27605.6,3859,4092.1,-233.1
"Idaho","2015",67790.5,92.946,66064.9,34667.2,27451.1,3946.5,4168.3,-221.8
"Idaho","2016",70442.5,96.582,69185.2,36582.9,28396.1,4206.2,4486.1,-280
"Idaho","2017",72935.1,100,72935.1,39470.9,28975,4489.2,4793.3,-304.1
"Idaho","2018",77652.1,106.467,79072.4,42237.2,32193.2,4641.9,5112,-470
"Idaho","2019",81144.3,111.255,84429.4,44612.4,34743.8,5073.1,5409.3,-336.1
"Idaho","2020",82717.4,113.412,88099.3,47679.8,38876.3,1543.2,5763.8,-4220.6
"Idaho","2021",88969.6,121.985,99839.1,53094.1,43029.7,3715.4,6551.4,-2836
"Idaho","2022",92903.7,127.379,112290.1,57902.7,47959.8,6427.6,7042.4,-614.8
"Idaho","2023",95897.9,131.484,120958.3,61465.1,52692.1,6801.1,7284.9,-483.7
"Idaho","1997",38816.3,53.22,29699.5,16179.8,11601.3,1918.4,2066.2,-147.8
"Idaho","1998",40879.3,56.049,31352.7,17239.7,12172.1,1940.9,2173.4,-232.4
"Idaho","1999",44821.5,61.454,34512.8,18499,13958.2,2055.7,2306.3,-250.7
"Illinois","2000",687111.4,82.504,486089.7,285554.2,169782.6,30752.9,33894,-3141
"Illinois","2001",688404.3,82.659,499618.4,295169.8,173160.4,31288.2,34754.6,-3466.4
"Illinois","2002",692398.1,83.138,511485.9,299276.6,178190.9,34018.3,36185.3,-2166.9
"Illinois","2003",703548.8,84.477,528577,304723.8,188450,35403.2,38054.2,-2651.1
"Illinois","2004",726139,87.19,560079.8,318685.2,203630,37764.6,40604.1,-2839.4
"Illinois","2005",741248.6,89.004,589153.7,332942.3,215916.5,40294.8,43859.7,-3564.9
"Illinois","2006",759825.7,91.235,624068.1,351340.2,229228.8,43499,46400.5,-2901.5
"Illinois","2007",769571.6,92.405,649307.4,368786.1,235169.2,45352.1,47894.9,-2542.8
"Illinois","2008",759095.3,91.147,649677.3,375386.9,227622.2,46668.1,49319.1,-2651
"Illinois","2009",740794.3,88.949,645843.2,358719.5,241643.1,45480.6,48391.5,-2910.8
"Illinois","2010",755391.4,90.702,663929,362497.5,256275.9,45155.6,47992.9,-2837.3
"Illinois","2011",772225.6,92.723,691805.5,377539.9,267715.2,46550.4,49643,-3092.6
"Illinois","2012",790723.3,94.945,725478,392120.8,283980.2,49377,52348.9,-2971.9
"Illinois","2013",795435.2,95.51,742890.9,400402.5,291355.2,51133.1,54190.3,-3057.2
"Illinois","2014",811490.1,97.438,772291.7,413268.4,304069.5,54953.9,57646.2,-2692.3
"Illinois","2015",825424.9,99.111,802592,432218.7,312470,57903.2,60735.8,-2832.6
"Illinois","2016",826404.7,99.229,813561.6,438037.8,317333.7,58190.1,61666.6,-3476.5
"Illinois","2017",832826.8,100,832826.8,453339.1,318234.1,61253.7,64249.2,-2995.5
"Illinois","2018",851517.2,102.244,871024.2,472780.1,334381.5,63862.6,67304.2,-3441.6
"Illinois","2019",858018.3,103.025,895601.8,485390.8,345448.6,64762.4,68855.9,-4093.6
"Illinois","2020",810200.9,97.283,860672.8,483706.4,337674,39292.5,67425.1,-28132.7
"Illinois","2021",855888.1,102.769,946776.2,517670.7,380151,48954.5,76459.8,-27505.3
"Illinois","2022",876536,105.248,1040353.3,554105.5,408665.5,77582.2,82922.7,-5340.4
"Illinois","2023",885651.3,106.343,1098346.1,577773.7,439359.5,81212.9,85425.3,-4212.4
"Illinois","1997",619325.8,74.364,416015.1,236768.9,151763.9,27482.3,29452.9,-1970.6
"Illinois","1998",639642.7,76.804,436533.4,254038.9,154634.4,27860.1,30119.6,-2259.5
"Illinois","1999",663857.8,79.711,459971.6,268466.6,162139.3,29365.7,32419.1,-3053.4
"Indiana","2000",278990.4,78.031,204147.3,117264.8,75464.7,11417.8,12577.5,-1159.7
"Indiana","2001",273884.4,76.603,205325.1,118571.3,75017.4,11736.4,12991,-1254.6
"Indiana","2002",280723,78.516,213419.6,120793.2,79997.3,12629.1,13343.9,-714.9
"Indiana","2003",293045.2,81.962,225349.3,124498.8,87189.9,13660.5,14542.3,-881.8
"Indiana","2004",303819.8,84.976,239278.5,130683.7,94492.5,14102.4,15087,-984.6
"Indiana","2005",306344.6,85.682,247428.3,135189.8,95347.4,16891.1,18287.1,-1396.1
"Indiana","2006",312525.5,87.411,259030.3,140860.5,100623.9,17545.8,18588.6,-1042.7
"Indiana","2007",322661.7,90.246,273340.8,145384.7,112416.3,15539.8,16358.6,-818.8
"Indiana","2008",322384.3,90.168,277774.5,147471.8,113474.6,16828.1,17700.2,-872
"Indiana","2009",299789,83.849,264925,138264.7,110060.5,16599.9,17580.4,-980.6
"Indiana","2010",320731.8,89.706,284685.8,142213,125522.9,16949.9,17899.2,-949.2
"Indiana","2011",321532.8,89.93,292373.8,147702.1,128652.8,16019,17123.1,-1104.1
"Indiana","2012",323876.2,90.586,301277.4,154812.7,129200.8,17263.9,18335.2,-1071.3
"Indiana","2013",333207.4,93.196,313466.9,157764.4,137734.6,17967.8,19102.8,-1135
"Indiana","2014",343827.8,96.166,329360.9,165079.7,145826.2,18455,19330.8,-875.7
"Indiana","2015",341205.2,95.432,333163.8,171647.9,143143.5,18372.3,19274,-901.7
"Indiana","2016",348439.2,97.456,342716.6,176902.3,147566,18248.3,19526.7,-1278.4
"Indiana","2017",357535.8,100,357535.8,184494.7,153591.1,19450,20493.1,-1043.1
"Indiana","2018",368762.9,103.14,377376.9,193408.2,162942.6,21026,22228.3,-1202.3
"Indiana","2019",370507.2,103.628,384838.7,198748.3,164973,21117.4,22683,-1565.6
"Indiana","2020",359787.3,100.63,378633.6,200731.8,167645.5,10256.2,22957.3,-12701.1
"Indiana","2021",387122,108.275,425863.8,217232.4,193279.6,15351.8,25816,-10464.2
"Indiana","2022",399280.8,111.676,473492.9,234427.1,213387,25678.8,27555.3,-1876.5
"Indiana","2023",404290.3,113.077,499503.1,245192.9,227230.4,27079.8,28532,-1452.2
"Indiana","1997",244848.3,68.482,170924.6,97929.2,62498.2,10497.3,11027.5,-530.2
"Indiana","1998",260549.9,72.874,185336.3,104946.7,69718.1,10671.4,11400.3,-728.8
"Indiana","1999",268864.3,75.199,193659.9,111581.9,71163.2,10914.8,11993.7,-1078.8
"Iowa","2000",129323.4,69.111,93125.6,51352.9,37652.9,4119.8,6288.3,-2168.6
"Iowa","2001",128077.5,68.445,94922.6,53042,37561.1,4319.6,6336.2,-2016.6
"Iowa","2002",131035.2,70.025,98669.4,54061.5,38926,5682,6587.9,-905.9
"Iowa","2003",137476.9,73.468,105329.7,56035.5,43671.3,5622.9,6811.9,-1189
"Iowa","2004",149063.2,79.66,117149.8,59513.4,51856.6,5779.8,7188.3,-1408.5
"Iowa","2005",153626.8,82.098,122866.1,62366.2,55153.7,5346.2,7666.6,-2320.3
"Iowa","2006",155704.5,83.209,127670.8,65581.2,55580.4,6509.2,7930.9,-1421.7
"Iowa","2007",162838.1,87.021,137590.2,69098,61334.6,7157.7,8265.9,-1108.3
"Iowa","2008",160469.1,85.755,137749.2,71711.3,58606,7431.9,8649.4,-1217.5
"Iowa","2009",156737.2,83.761,137094.3,70627,58841.6,7625.7,8884.4,-1258.6
"Iowa","2010",161593.1,86.356,142497.7,71839.9,62851.3,7806.4,9132.7,-1326.3
"Iowa","2011",164559.3,87.941,149026.1,74078.6,66583.8,8363.7,9674.2,-1310.5
"Iowa","2012",170923.7,91.342,158553.1,77824.5,71726.8,9001.8,10326,-1324.2
"Iowa","2013",171069.1,91.42,162415,80019.1,73363.6,9032.3,10396.7,-1364.4
"Iowa","2014",180309.9,96.358,173734.2,84320.7,79887.5,9526,10568.9,-1042.9
"Iowa","2015",185989.2,99.393,181471.7,87434.4,84745,9292.2,11064.1,-1771.9
"Iowa","2016",186729.9,99.789,183834.8,90073.1,83449.9,10311.8,11820.2,-1508.4
"Iowa","2017",187125,100,187125,92656.9,83739.8,10728.3,11935.7,-1207.4
"Iowa","2018",189245.1,101.133,193155.1,96343.4,85975.6,10836.1,12468.4,-1632.3
"Iowa","2019",188471.4,100.72,196262.5,98492,87355.7,10414.7,12919.6,-2504.8
"Iowa","2020",186328.2,99.574,198609.6,100028.9,94541.4,4039.4,12952.1,-8912.7
"Iowa","2021",201147.1,107.493,223870.9,105535.3,110710.4,7625.2,14591.2,-6966
"Iowa","2022",201580.4,107.725,242752.9,112554.2,117015.8,13182.9,15396.1,-2213.3
"Iowa","2023",202051.4,107.977,254032,117794.2,121995.8,14242,15867,-1625
"Iowa","1997",120232.5,64.253,82808.8,43063.3,34886.5,4859,5647.4,-788.4
"Iowa","1998",121031,64.679,84629.7,46429.7,33537.3,4662.8,5844.3,-1181.6
"Iowa","1999",123683.4,66.097,87774.3,48859.4,34722.8,4192.1,6152.1,-1960
"Kansas","2000",118840.9,71.473,85990.5,50979.7,30041.1,4969.7,6204.1,-1234.4
"Kansas","2001",119474.1,71.854,88869.7,52816.8,30796.6,5256.4,6426.6,-1170.3
"Kansas","2002",121050.5,72.802,91359,53712.3,31576.5,6070.3,6695.7,-625.4
"Kansas","2003",123486.7,74.267,95236.3,54853.7,34060.7,6321.8,7266.2,-944.4
"Kansas","2004",124793.2,75.053,98913.7,57803.2,33979.6,7130.9,7947.6,-816.7
"Kansas","2005",129588.2,77.937,105343.9,60129.5,38277,6937.5,8211.8,-1274.3
"Kansas","2006",136135.8,81.875,113831.8,63826.5,42287.8,7717.4,8590.2,-872.7
"Kansas","2007",143586.6,86.356,123608.9,68161.4,47541.9,7905.5,8724.4,-818.9
"Kansas","2008",147265,88.568,129223.2,71308.5,50000.4,7914.3,8912.6,-998.3
"Kansas","2009",141902.5,85.343,126049.7,68626.5,49595.5,7827.7,8822,-994.3
"Kansas","2010",143870.1,86.526,129235.7,69930.7,51305.4,7999.6,8963.8,-964.2
"Kansas","2011",147836.8,88.912,136747.1,72443.8,55579.9,8723.3,9726.4,-1003
"Kansas","2012",150077.1,90.259,141812.1,74817,57962.3,9032.8,10052.2,-1019.4
"Kansas","2013",150702.9,90.636,144999.3,77448,58430.6,9120.7,10413.6,-1292.9
"Kansas","2014",154110.1,92.685,150276.1,80343.9,60405.2,9526.9,10767,-1240.1
"Kansas","2015",158602.6,95.387,155699,83047.4,63086,9565.6,10622.1,-1056.5
"Kansas","2016",164643.7,99.02,162144.5,83368,68620.3,10156.2,11278,-1121.8
"Kansas","2017",166273.6,100,166273.6,85262.3,70500.3,10511,11647.1,-1136.2
"Kansas","2018",169796.9,102.119,173373,88767,73826.8,10779.3,12079.3,-1300
"Kansas","2019",169562.3,101.978,176068.8,91997.8,73939.6,10131.3,12091.6,-1960.2
"Kansas","2020",168056.8,101.072,177209.6,93418.1,79720.4,4071.1,12366.9,-8295.8
"Kansas","2021",172782.4,103.915,191738.1,97914.6,86325.5,7498,13514.7,-6016.6
"Kansas","2022",177470.1,106.734,212611.6,104424.9,95491.4,12695.4,14406.1,-1710.7
"Kansas","2023",183795.6,110.538,228232.4,110245.7,104653.1,13333.7,15081.9,-1748.2
"Kansas","1997",108792.9,65.43,74643.2,42329.2,27367.6,4946.3,5563.1,-616.8
"Kansas","1998",112625.7,67.735,78242.3,45543.2,27770.8,4928.3,5843.8,-915.5
"Kansas","1999",115486.4,69.456,81609.7,48188.8,28840.8,4580.2,5959.4,-1379.3
"Kentucky","2000",161101,79.14,114549.6,66446,39591.8,8511.7,9083.5,-571.8
"Kentucky","2001",161316.4,79.246,117767.9,68993.1,40094.9,8679.9,9170.3,-490.3
"Kentucky","2002",165435.3,81.269,122731.2,70906.9,42726.1,9098.2,9427.3,-329.1
"Kentucky","2003",170481.9,83.749,128289.6,73726,45707,8856.6,9244.7,-388.1
"Kentucky","2004",175344.6,86.137,135694.5,77550.4,48685.5,9458.6,9858.6,-399.9
"Kentucky","2005",182017.9,89.416,144914.9,81531.4,53431,9952.5,10981.4,-1028.9
"Kentucky","2006",186332.6,91.535,153009.8,84984.1,57409.4,10616.4,11323.3,-707
"Kentucky","2007",185790,91.269,156900,88888.3,57388,10623.7,11209.3,-585.6
"Kentucky","2008",186515.9,91.625,160700.2,91434.6,58221,11044.7,11652.9,-608.2
"Kentucky","2009",178112.8,87.497,157440.1,88575.6,58148.2,10716.4,11395.6,-679.3
"Kentucky","2010",186720.6,91.726,166656.3,91583.8,63540.5,11532.1,12163.7,-631.6
"Kentucky","2011",188389.8,92.546,171238.1,94587.1,64843.4,11807.7,12502.4,-694.8
"Kentucky","2012",192060.1,94.349,178370.6,97968.4,68017.1,12385.2,13080.2,-695.1
"Kentucky","2013",196698,96.627,184920.6,99005.9,73185.3,12729.5,13426.6,-697.1
"Kentucky","2014",196795.8,96.675,188326.4,102306.1,72751,13269.3,13910.5,-641.3
"Kentucky","2015",199487.1,97.997,194621.2,107259.3,73896.3,13465.6,13982.6,-517
"Kentucky","2016",201007.2,98.744,197944.8,109461.4,74814.2,13669.2,14210.4,-541.2
"Kentucky","2017",203564,100,203564,112468.5,76992.4,14103,14669,-566
"Kentucky","2018",205940.1,101.167,210509.1,116565.3,79205.3,14738.5,15290.4,-551.8
"Kentucky","2019",211783.1,104.038,220678.8,121066.9,84029,15582.8,16313,-730.2
"Kentucky","2020",206049.6,101.221,218539.7,122211.6,87884.9,8443.2,16268.1,-7824.9
"Kentucky","2021",215133.2,105.683,238428.9,131180.1,95856,11392.8,17810.1,-6417.3
"Kentucky","2022",219755.6,107.954,261540.7,141140.8,102626.9,17773,18844.3,-1071.3
"Kentucky","2023",224418,110.244,279707.5,149770.9,111759,18177.6,19033.6,-856
"Kentucky","1997",155770.4,76.522,104878.1,55354.8,41821.1,7702.1,7944.5,-242.4
"Kentucky","1998",160810.1,78.997,110020.1,58594.6,43553.1,7872.4,8179.5,-307.1
"Kentucky","1999",165761.9,81.43,115592.7,62767.3,44890,7935.4,8331.4,-396
"Louisiana","2000",206556.1,86.126,132375.8,68244.8,54560.5,9570.5,10228.6,-658.1
"Louisiana","2001",210534.7,87.785,138204.3,72119.1,55955.3,10129.9,10854.1,-724.2
"Louisiana","2002",214856.1,89.587,140082.8,74694.6,54806.8,10581.4,11137.8,-556.4
"Louisiana","2003",223576,93.222,155198.7,77676.8,66847.6,10674.3,11400.2,-725.8
"Louisiana","2004",234620.8,97.828,170999.6,81372.6,78321.3,11305.7,11893.7,-588
"Louisiana","2005",249560.9,104.057,199314.2,84477.1,102676.8,12160.3,12843.3,-682.9
"Louisiana","2006",247139.7,103.048,207249.8,89779.5,103957,13513.3,14183.5,-670.2
"Louisiana","2007",234216.4,97.659,203771.3,96434.6,98581,8755.6,15226.5,-6470.9
"Louisiana","2008",237061.6,98.845,213803.5,102544.4,99778.6,11480.6,15057.2,-3576.6
"Louisiana","2009",241868.8,100.85,206111.5,101685.5,92144.4,12281.6,13925,-1643.4
"Louisiana","2010",253466.9,105.686,226555.6,104412,109102.8,13040.8,14378.6,-1337.8
"Louisiana","2011",241235.9,100.586,230518.7,106158.1,110257.6,14103,15121.2,-1018.1
"Louisiana","2012",242416.8,101.078,235960.9,109772.4,111623.2,14565.3,15378.2,-812.9
"Louisiana","2013",236482.3,98.604,231652.7,112967,103363.9,15321.8,16088.5,-766.7
"Louisiana","2014",243042.9,101.339,240965,118215.2,106924.1,15825.8,16471.7,-645.9
"Louisiana","2015",239584.1,99.897,234324.2,120096.8,98667.7,15559.7,16172.3,-612.6
"Louisiana","2016",235554.2,98.217,227440.3,118594.8,92179.2,16666.3,17401.3,-735
"Louisiana","2017",239830.7,100,239830.7,121139,100810.2,17881.5,18570.8,-689.3
"Louisiana","2018",245220.3,102.247,256444.4,126295.1,112589.1,17560.3,18228.6,-668.3
"Louisiana","2019",246674.4,102.854,257499,128824.7,111203.6,17470.7,18260,-789.3
"Louisiana","2020",228951.3,95.464,236216.3,125692.2,105168.1,5356,17745.3,-12389.3
"Louisiana","2021",237839.2,99.17,267263.6,131621.1,124659.4,10983.1,21079.6,-10096.5
"Louisiana","2022",236854.1,98.759,298424.5,140467,135904.1,22053.4,23277.5,-1224.2
"Louisiana","2023",248615.5,103.663,314988.6,148522.2,143826.5,22639.9,23586.5,-946.5
"Louisiana","1997",202386.5,84.387,116423.1,60384.4,47468.1,8570.5,8965.2,-394.7
"Louisiana","1998",209356.6,87.293,120228.8,64270.5,47036.7,8921.6,9389.8,-468.2
"Louisiana","1999",213475.3,89.011,125667.3,65596.4,50858.1,9212.7,9832.4,-619.7
"Maine","2000",52958.5,84.06,37222,21369.8,12639.2,3213,3308.4,-95.4
"Maine","2001",54066.2,85.818,38925.7,22594.9,12964.2,3366.6,3460.2,-93.6
"Maine","2002",55406.5,87.946,40664.1,23488.4,13600.4,3575.4,3685.7,-110.3
"Maine","2003",56882.4,90.289,42493.4,24472.8,14212.8,3807.8,3934.4,-126.5
"Maine","2004",58934.8,93.546,45233.1,25805.4,15449,3978.7,4111.8,-133.1
"Maine","2005",59589.7,94.586,47028.1,26310.2,16579.5,4138.4,4301.5,-163.1
"Maine","2006",59986,95.215,48889.3,27780.7,16713.1,4395.5,4541.3,-145.8
"Maine","2007",60032.6,95.289,50291.3,28874.6,17233,4183.7,4320.4,-136.7
"Maine","2008",59845.1,94.991,51001.9,29684.2,17079.2,4238.5,4374,-135.5
"Maine","2009",58771.8,93.288,51451.2,28907.9,18438.9,4104.4,4282.9,-178.5
"Maine","2010",59958.5,95.171,52802.5,29235.8,19220.5,4346.2,4540.7,-194.5
"Maine","2011",59429.7,94.332,53104.5,29661.8,19058.1,4384.6,4590.4,-205.9
"Maine","2012",59181.7,93.938,54018.5,30365.8,19111.4,4541.2,4737.6,-196.4
"Maine","2013",59013.9,93.672,54924.8,31117.7,19183.5,4623.6,4822.9,-199.2
"Maine","2014",59589.8,94.586,56537.4,32183.8,19379.7,4973.8,5157.5,-183.7
"Maine","2015",60563,96.131,58755.8,33479.4,20042.2,5234.2,5406.5,-172.3
"Maine","2016",62037.1,98.471,61092.2,34476.7,21234.9,5380.5,5564.8,-184.2
"Maine","2017",63000.6,100,63000.6,35744.3,21740.7,5515.6,5685.4,-169.8
"Maine","2018",64806.3,102.866,66216,37361.2,22976.8,5878,6051.3,-173.4
"Maine","2019",66758.4,105.965,69708.7,39004.9,24213.4,6490.3,6672.3,-181.9
"Maine","2020",67410.9,107,72077.1,40347.2,27133.6,4596.3,7021.9,-2425.5
"Maine","2021",71142.4,112.923,79193.9,44082.1,29652.6,5459.1,7569.5,-2110.4
"Maine","2022",73036.2,115.929,86493.3,47509.7,31405.6,7578.1,8009.7,-431.6
"Maine","2023",75195.4,119.357,93270,50276.7,34961.2,8032.1,8384.5,-352.4
"Maine","1997",46325,73.531,30574.2,17694.4,9958.7,2921.2,2998.1,-77
"Maine","1998",48138.5,76.41,32412.8,18796.4,10481.3,3135,3221.8,-86.8
"Maine","1999",50620.3,80.349,34714.7,20064.7,11602.4,3047.6,3140.2,-92.6
"Maryland","2000",269301.2,67.373,191430.2,114234.6,65546.3,11649.3,12281.6,-632.3
"Maryland","2001",281053.6,70.314,205276,120951.9,71955.2,12368.9,13052.7,-683.8
"Maryland","2002",290400.3,72.652,217001.4,127108.1,76889.8,13003.5,13661.6,-658.1
"Maryland","2003",297690.6,74.476,226803.4,133098.3,80109.8,13595.4,14372.1,-776.7
"Maryland","2004",311504.8,77.932,243449.8,141485.1,87434,14530.8,15321,-790.3
"Maryland","2005",325644.5,81.469,261795.3,149626.9,95376.2,16792.3,17722.4,-930.1
"Maryland","2006",329874,82.527,273791,157246.5,98983.4,17561.1,18427.8,-866.7
"Maryland","2007",331763.5,83,282618.2,164478.5,100369.6,17770.2,18575.2,-805
"Maryland","2008",338165.4,84.602,292908.3,168836.7,106677.7,17393.9,18233.5,-839.7
"Maryland","2009",336285.8,84.131,298282.8,169110.5,113288.1,15884.1,16907,-1022.9
"Maryland","2010",352622.9,88.219,313930.5,173330.9,122399.5,18200.1,19202.8,-1002.7
"Maryland","2011",360155.9,90.103,324920.9,180307.8,126287.9,18325.2,19431.6,-1106.5
"Maryland","2012",361561.8,90.455,331869,184804.5,128165.8,18898.8,19976.3,-1077.5
"Maryland","2013",364633.2,91.223,339895.8,187424.8,132839,19632,20711.7,-1079.6
"Maryland","2014",370343.9,92.652,351743.1,194029.4,136335.5,21378.3,22437.7,-1059.4
"Maryland","2015",378745.9,94.754,367314.1,202346.6,142811.8,22155.7,23191.7,-1036.1
"Maryland","2016",391950.9,98.058,386496.4,208737.6,155075.8,22683,23766.9,-1083.9
"Maryland","2017",399714.5,100,399714.5,215578.1,160299.1,23837.3,24928.3,-1091
"Maryland","2018",402480.9,100.692,410771.8,223169.7,162468.4,25133.7,26321.4,-1187.7
"Maryland","2019",402506.2,100.698,419391.6,230439.8,163083.4,25868.4,27123.7,-1255.3
"Maryland","2020",388782.8,97.265,413455.4,233719.5,165830.3,13905.6,26746.1,-12840.4
"Maryland","2021",406953.1,101.811,447753.6,248777.1,179694.5,19281.9,30186.2,-10904.3
"Maryland","2022",416406.2,104.176,484907.6,262861.6,192363.1,29682.9,32418,-2735.1
