"State","Year","From State government1","Taxes","Property","Sales and gross receipts","General sales","Selective sales","Motor fuel","Alcoholic beverage","Tobacco products","Public utilities","Other selective sales","Individual income","Corporate income","Motor vehicle license","Other taxes","Charges and miscellaneous general revenue","Current charges","Education","School lunch sales (gross)","Hospitals","Highways","Air transportation (airports)","Parking facilities","Sea and inland port facilities","Natural resources","Parks and recreation","Housing and community development","Sewerage","Solid waste management","Other charges","Capital outlay","Higher education","Elementary & secondary","Other education","Libraries","Public welfare","Cash assistance payments","Vendor payments","Other public welfare","Health","Veterans' services","Police protection","Debt outstanding","Employment security administration"
"Ohio","2012","0","25928118","0","13124136",NA,"4847006","1684209","98113","843180","1051730","1169774","9029349","117446","714980","2942207","12040124","7534984","4582916","0","2536537","251439","0","0","0","22950","16921","20796","0","0","89412","4346558","8073890","0","1818067","13031","17957584","1109252","15413372","1434960","1149124","36567","293088","33602457","204747"
"Oklahoma","2012","0","8823958","0","3708940",NA,"1292976","444636","103831","292973","39353","412183","2774376","446009","665123","1229510","4423333","2366092","1681348","0","239866","230108","201","0","0","14017","21817","12452","0","1277","235161","1861933","3402497","0","502802","5904","6063044","110546","5105188","847310","730041","18254","156767","9979234","82894"
"Oregon","2012","0","8728095","15710","1398998",NA,"1398998","533420","17322","255652","94132","498472","5825797","433126","509049","545415","6205980","4145169","1316937","0","1517289","34095","0","0","0","27646","0","7999","0","32","1316058","1245795","2922394","0","1140485","4675","5804424","318494","3105553","2380377","1502553","8890","154672","13826154","66225"
"Pennsylvania","2012","0","32949917","38452","17151633",NA,"7984791","2073677","324024","1118961","1336501","3131628","10102113","1837374","837990","2982355","13018390","9026536","5272550","0","3006896","838307","45","0","0","67372","37204","57472","3","6","330337","7101421","8057753","0","2116638","12659","19756035","1204847","17952955","598233","1963800","2767","889546","46198646","99139"
"Rhode Island","2012","0","2868188","2095","1474547",NA,"626000","80911","12871","132132","101408","298678","1068466","136362","64889","121829","1960116","994771","425964","237","57753","27906","55878","0","0","20233","30226","8078","79540","12615","327165","453147","674858","56966","206466","1893","2246413","36790","1955684","253939","203943","0","72379","9211790","34587"
"South Carolina","2012","0","8062639","8811","4174626",NA,"1248449","531615","153951","26247","22045","514591","3096834","252904","205110","324354","5879671","3969526","1878521","0","1514075","17071","191","415","130948","24797","16860","11024","0","0","226502","1275226","3491288","137977","1141258","5553","5822418","139914","5315408","367096","961866","0","152879","14854263","75063"
"South Dakota","2012","0","1521928","0","1197567",NA,"359327","136431","15449","60372","3676","143399","0","59837","64710","199814","827015","310728","248240","0","21841","992","0","0","0","12557","3008","0","0","0","44864","613025","559798","0","114323","2491","956554","80985","662403","213166","152929","1008","33785","3607615","20923"
"Tennessee","2012","0","11380078","0","8383189",NA,"2449833","837787","133055","279017","9318","1190656","182251","1115383","262243","1437012","3730547","1903822","1487942","0","339650","396","0","0","0","25781","34559","2800","0","1791","324470","1731207","3798847","0","899910","10668","10182922","633716","8780779","768427","795927","4353","177445","6167659","69492"
"Texas","2012","0","47991110","0","40976120",NA,"11973563","3178419","941461","1463793","768762","5621128","0","0","1971308","5043682","21987503","11868974","6282070","0","5547563","102304","0","0","0","41749","46172","14290","294","72232","684233","7715992","19942116","367658","1904181","18032","30573864","1281446","26922738","2369680","2416643","442509","824913","45626393","227762"
"Utah","2012","0","5809955","0","2722128",NA,"865093","372212","45823","123988","25824","297246","2466495","258578","158169","204585","3954615","2993848","1408663","0","1091881","492","350","0","0","10141","14243","12842","0","4350","274326","2324549","3587744","0","256653","7339","3044657","676967","2163172","204518","256425","1109","147441","7067149","10173"
"Vermont","2012","0","2731036","924451","968303",NA,"626218","108177","22403","80230","13267","402141","598450","96579","64294","78959","824736","556125","468472","0","17789","242","27","0","0","2914","9591","2617","0","0","72200","261390","728371","0","201349","3474","1495298","31687","911765","551846","253893","688","96659","3390961","0"
"Virginia","2012","0","18144897","34297","5860577",NA,"2373234","866243","198107","192441","150759","965684","10216148","838790","431651","763434","11509994","7605019","3578986","0","3381228","30358","0","0","297836","2343","24270","30225","0","0","598190","3537360","7291419","0","949690","17804","8566133","882002","7229959","454172","702773","7581","319905","27785849","150747"
"Washington","2012","0","17624715","1897095","14171443",NA,"3557306","1177987","349164","470765","460025","1099365","0","0","471016","1085161","6584610","4254584","2349892","0","2156533","257075","1","0","0","138848","3857","28280","0","0","379106","3046128","5878453","0","1249278","7850","8214744","555205","6591880","1067659","1535168","13485","358476","29090132","247451"
"West Virginia","2012","0","5285773","6039","2559586",NA,"1282258","387040","17204","109618","155560","612836","1755746","192385","3261","768756","2649610","1406361","786120","0","125062","97585","1129","0","0","33478","17065","8927","2680","573","385804","1213169","1684769","0","623828","3998","3241959","75241","2851551","315167","300320","16408","81483","7306756","30530"
"Wisconsin","2012","0","15995335","155571","7008022",NA,"2719283","985001","56278","653275","388205","636524","6762399","934103","463896","671344","6339893","3772885","1799032","0","1551881","21655","0","2865","0","63035","44141","14636","114","759","569870","2037434","4884496","0","693059","0","7796350","349394","6830202","616754","509659","38619","138174","22995708","108030"
"Wyoming","2012","0","2304628","316734","873840",NA,"126036","66443","1742","25984","4443","27424","0","0","65733","1048321","1194123","216322","107830","0","6161","9850","780","0","0","12014","1942","2596","0","7","80945","464486","473500","0","274233","5339","769608","19","596623","172966","325752","0","39708","1321804","42285"
"Missouri","2013","0","11139394","29896","4791043","3154531","1636512","701078","36119","103734","0","795581","5380651","377258","266955","293591","5089420","2749653","1769992","0","713455","3402","0","0","0","11888","2420","18911","0","1","229584","1481396","2932023","0","891100","9030","8173694","109909","7648150","415635","1585689","2409","248942","19307770","45277"
"Montana","2013","0","2644610","262313","558961","0","558961","216155","31743","87935","47861","175267","1045500","170999","149104","457733","890257","461916","395911","0","1572","56","36","0","0","17790","1521","1064","0","0","43966","400327","762145","0","97457","6025","1332897","0","1244770","88127","231706","2283","61359","3516016","50403"
"Nebraska","2013","0","4718944","148","2197988","1669380","528608","297483","28936","66049","53887","82253","2101694","275563","95343","48208","1944848","1088683","700210","0","232327","2656","382","0","0","35771","6428","2143","0","98","108668","756243","1635738","0","211015","3435","2383260","34269","1688325","660666","220640","1085","74619","1846583","44633"
"Nevada","2013","0","7026626","235143","5468363","3637356","1831007","297387","40903","104766","21993","1365958","0","0","162250","1160870","1249687","683046","466587","0","3393","2635","0","0","0","10950","5483","3321","0","0","190677","787942","1223858","9903","301397","9594","1740504","50251","1444415","245838","257599","97","90883","3609752","105094"
"New Hampshire","2013","0","2352699","400369","948297","0","948297","143132","12689","209555","73141","509780","99027","553197","92324","259485","1918241","951037","595464","0","16117","190973","251","0","0","4903","17558","16488","1806","0","107477","492445","846535","0","192604","2208","1264458","85198","466150","713110","77402","891","54503","8763339","39370"
"New Jersey","2013","0","29076881","4620","12198133","8454788","3743345","524557","136066","753562","959009","1370151","12108615","2282055","615425","1868033","10849659","5866230","2423967","5490","923678","1584295","11587","0","18250","4739","93867","67685","7024","35710","695428","4931753","4658730","2408408","1836190","4309","12636132","406268","8665575","3564289","3003582","20297","605109","64264050","247610"
"New Mexico","2013","0","5390841","69217","2732537","2004258","728279","231026","46913","83034","30650","336656","1222245","266466","175002","925374","3676613","1368987","574639","0","698751","11919","0","0","0","13714","1411","3626","0","0","64927","872853","2029642","0","379255","0","3927757","66291","3622822","238644","473079","2730","113557","7232938","10247"
"New York","2013","0","73667171","0","23217491","12117579","11099912","1634932","247303","1543018","1027932","6646727","40230379","4920605","1377900","3920796","21399559","10910040","2589007","0","6341429","788461","59476","0","30690","80976","167510","7417","0","232","844842","13194128","10527412","3121","1738273","8598","47114909","0","46363138","751771","2829505","11516","790329","142864900","275263"
"North Carolina","2013","0","23818371","0","9714905","5592560","4122345","1893576","332656","281097","396055","1218961","11068166","1285907","581590","1167803","6456486","3667913","2922183","0","59950","25967","83","2280","37227","35013","12075","31224","0","669","541242","3473198","7313598","504984","1482952","7145","12450155","61267","11943183","445705","1140211","4037","363132","19054585","59548"
"North Dakota","2013","0","5298770","2808","1763437","1268695","494742","211700","9154","28743","39807","205338","641766","225719","113651","2551389","1199372","772380","405688","0","5734","1947","2","0","0","24448","3588","2294","0","0","328679","757754","980924","0","111282","2424","985312","58813","798412","128087","116203","3256","28486","1834319","17114"
"Ohio","2013","0","27242072","0","13547170","8351551","5195619","1704594","98279","828703","1111197","1452846","9869545","262226","714947","2848184","12191443","7770890","4705948","0","2674429","271873","0","0","0","24810","16557","18425","0","0","58848","4944686","9167678","0","1668142","13341","18561745","1064266","15999492","1497987","1383150","33804","306723","33145736","177099"
"Oklahoma","2013","0","8892503","0","3848451","2518598","1329853","434719","111001","283902","41207","459024","2916615","585146","649232","893059","4761070","2472556","1750425","0","155284","236173","498","0","0","12884","21976","12011","0","1477","281828","1864280","3329273","0","500514","6517","6392062","117816","5383146","891100","748426","13798","171112","9514281","83128"
"Oregon","2013","0","9160887","19893","1369266","0","1369266","498778","16294","269344","84131","500719","6260161","459744","512729","539094","6682991","4446372","1415192","0","1509144","27263","0","0","0","123845","24668","8542","0","70","1337648","1231253","3046244","0","1177890","4494","6092883","324245","3324498","2444140","1535324","7945","164181","13598468","65904"
"Pennsylvania","2013","0","33965626","55537","17106300","9243355","7862945","2046738","336400","1074092","1312254","3093461","10777334","2208163","837215","2981077","14178272","9684187","5445290","0","2810016","867690","17","0","0","75801","37767","61916","0","9","385681","7138406","8490682","0","2119522","13239","20896601","1149835","18452581","1294185","1944778","4117","890806","47020552","95070"
"Rhode Island","2013","0","2931631","2331","1516423","881458","634965","94191","12717","131974","101502","294581","1088992","144310","66202","113373","2142221","1062340","443054","190","8447","48978","50321","0","0","21266","29491","7773","81290","11847","359873","364845","660004","54864","203439","2372","2236483","35758","1921107","279618","205101","0","76775","9568810","32105"
"South Carolina","2013","0","8735455","22699","4476982","3199752","1277230","520501","156759","27677","26831","545462","3357518","386669","210000","281587","6185302","4173392","1987320","0","1422632","17572","377","0","140388","33118","33522","12411","0","0","526052","1699310","3696772","0","1350882","8449","6167713","261388","5382523","523802","892188","0","151335","14213200","63891"
"South Dakota","2013","0","1533573","0","1228262","853570","374692","142364","16027","60969","3558","151774","0","37172","66660","201479","888183","346905","266409","0","877","1187","0","0","0","14385","4190","0","0","0","59857","608869","583931","0","119168","2574","999137","84478","695404","219255","157556","1106","35603","3425424","21848"
"Tennessee","2013","0","11727736","0","8490111","5992162","2497949","834999","140068","274471","9461","1238950","262842","1256173","270469","1448141","3819435","1958981","1550644","0","23369","346","0","0","0","17472","35038","1866","0","1567","328679","1740318","3662316","26619","970956","9844","10213842","617749","8804913","791180","530173","4408","188285","6191955","66371"
"Texas","2013","0","51801010","0","43653956","30908596","12745360","3228459","987726","1533170","753864","6242141","0","0","2076465","6070589","24230783","12607932","6685097","18","4967389","130238","0","0","0","41794","48745","13323","117","74715","646514","8016478","20454717","68487","2017208","20038","30503690","1301333","26826047","2376310","2497085","598994","862402","39624672","206674"
"Utah","2013","0","6294473","0","2739916","1884170","855746","373242","48228","120472","24484","289320","2852088","330684","164710","207075","4261054","3228306","1477642","0","1423725","663","217","0","0","11604","14476","8519","0","4172","287288","1657472","3571137","0","273348","7410","3175961","649463","2315063","211435","264373","1407","151693","7049552","11447"
"Vermont","2013","0","2850183","943408","983226","347273","635953","106840","23159","74270","17272","414412","663027","105635","69563","85324","896679","569759","476055","0","0","304","0","0","0","3006","9018","4807","0","0","76569","215234","757850","0","220135","3631","1633110","32148","1022384","578578","298652","731","100126","3330238","268"
"Virginia","2013","0","19186853","33188","6192666","3708389","2484277","910038","204049","187943","128780","1053467","10900860","772001","452626","835512","11994515","8138597","3750416","0","3319458","30104","0","0","339460","2498","21599","37055","0","0","638007","3059704","7496069","0","912983","18701","9270975","923328","7868671","478976","950836","9503","338864","28022656","137156"
"Washington","2013","0","18787187","1939883","14718051","11122868","3595183","1194910","364795","465148","462736","1107594","0","0","509854","1619399","7154114","4796450","2750878","0","1162389","307847","2","0","0","134453","2242","51951","0","0","386688","3273302","6220973","0","1374823","7590","8250489","515786","6627968","1106735","1627193","15864","391271","30474333","225132"
"West Virginia","2013","0","5389952","6149","2579011","1255377","1323634","408914","17690","107022","160762","629246","1795947","242429","2456","763960","2687592","1504885","814546","0","73290","95426","876","0","0","36687","16481","8248","2850","471","456010","1074793","1683869","0","631495","3774","3487462","69178","3080597","337687","287039","9048","75101","7355630","28088"
"Wisconsin","2013","0","16513692","148600","7088411","4410130","2678281","968338","57290","632174","368708","651771","7227690","955752","452850","640389","6549783","4018766","1923550","0","1392825","22419","0","2904","0","65833","44095","15374","71","861","550834","1935026","4505254","0","755661","0","8361747","256842","7476029","628876","511159","27568","122734","23187772","102031"
"Wyoming","2013","0","2186054","331899","826387","702623","123764","70986","1802","26505","3555","20916","0","0","80385","947383","1377034","228206","110845","0","446","8568","825","0","0","12094","1875","3873","0","3","89677","454893","477370","0","227886","5067","790534","30","618563","171941","372117","0","41721","1020546","18734"
"Missouri","2014","0","11240654","29725","4915210","3285563","1629647","696458","35760","99527","0","797902","5361976","357724","272542","303477","5088288","2785467","1820218","0","742501","4633","0","0","0","13113","2472","19426","0","1","183103","1342233","3071812","0","912413","8449","8379915","127277","7807207","445431","1611331","2413","256104","19041613","47262"
"Montana","2014","0","2655553","268508","550254","0","550254","196965","30053","85404","47390","190442","1063261","150139","136787","486604","971379","470026","404389","0","2234","106","43","0","0","18121","1422","1169","0","0","42542","423505","788222","0","100958","5972","1419884","0","1327796","92088","206455","3050","64178","3402199","52174"
"Nebraska","2014","0","4887753","143","2303952","1763695","540257","335153","30258","63425","53009","58412","2124164","306591","92600","60303","1857828","1130728","732602","0","244825","2506","404","0","0","33795","7352","2478","0","137","106629","682144","1668858","0","222916","3425","2504638","31172","1787703","685763","203781","1085","74591","1908707","39703"
"Nevada","2014","0","7143169","258600","5714197","3828869","1885328","296649","42917","102116","22636","1421010","0","0","166067","1004305","1279874","706266","491412","0","3212","2940","0","0","0","7131","5942","3701","0","0","191928","381126","1316375","124584","343506","9444","2022636","54110","1717583","250943","238140","62","82374","3520774","89375"
"New Hampshire","2014","0","2285717","383126","880245","0","880245","146101","12755","215012","69877","436500","92743","542847","94395","292361","1830191","920121","594503","0","7754","158452","217","0","0","3998","20299","13813","1729","0","119356","405736","853730","0","193068","2353","1318256","88781","949847","279628","83825","969","56433","8217510","44838"
"New Jersey","2014","0","29679226","6705","12751851","8885847","3866004","539155","139438","740605","1012028","1434778","11973673","2368068","617428","1961501","11463060","6232920","2516708","5115","1080991","1609138","10471","0","20782","3964","69819","146369","7600","37896","729182","5030345","4819317","2907410","1974241","4340","13098517","389590","9025772","3683155","3201518","16418","613278","66089949","227579"
"New Mexico","2014","0","5757432","105637","2799875","2098676","701199","234881","44968","81272","29894","310184","1297493","205702","188156","1160569","4273625","1399076","546027","0","760497","10742","0","0","0","12980","1472","1826","0","0","65532","822187","2056143","0","383328","0","4203759","44533","3883608","275618","479615","2932","122665","6884017","8662"
"New York","2014","0","76978982","0","23544789","12668587","10876202","1630358","250926","1446184","929929","6618805","42964774","4861687","1357553","4250179","20755357","9784743","2761104","0","4900253","801621","58939","0","10088","128790","227075","7430","0","251","889192","7961505","10361443","1297","1858405","9226","44068643","0","43358363","710280","3056092","11603","749474","143407624","265203"
"North Carolina","2014","0","23512645","0","9980713","5842182","4138531","1915670","343344","281773","403194","1194550","10390520","1360628","591457","1189327","8177669","5083656","3079071","0","1283519","31920","278","2186","32212","39534","11778","77506","0","360","525292","3469137","7291429","465864","1580955","7060","12020856","38511","11574278","408067","1032911","4240","383048","17853232","56346"
"North Dakota","2014","0","6120435","3026","1848130","1320196","527934","228022","9220","31262","40411","219019","498528","250438","119312","3401001","1188287","759856","405506","0","4930","1586","1","0","0","27445","4172","3148","0","0","313068","944659","1014465","0","110517","2360","1084895","63313","887768","133814","116941","3393","29423","1886865","17490"
"Ohio","2014","0","27020625","0","15617920","10217826","5400094","1839594","98397","815532","1125461","1521110","8424843","0","725263","2252599","12607442","7992167","4775875","0","2808464","275627","0","0","0","24456","16098","35259","0","0","56388","4626169","8808019","0","1697248","13888","20479924","1330348","17442871","1706705","1338537","38162","304586","33662042","153947"
"Oklahoma","2014","0","9048524","0","3934580","2599203","1335377","450807","110941","292752","46306","434571","2962128","397290","754435","1000091","4926386","2552234","1857864","0","165829","235455","186","0","0","16570","22879","13342","0","1495","238614","1985207","3579823","0","536895","6349","6657741","117989","5615447","924305","794472","12063","179271","9047456","77697"
"Oregon","2014","0","9681898","21740","1443722","0","1443722","512342","17627","257583","85401","570769","6649418","495134","514003","557881","6922097","4879606","1335838","0","1813641","28905","0","0","0","125418","25132","5798","0","84","1544790","1435719","3291115","0","1200225","4642","7671828","321352","4713546","2636930","676164","7420","166800","14583105","60915"
"Pennsylvania","2014","0","34192869","45017","17419429","9497906","7921523","2231348","346008","1028006","1284892","3031269","10809736","2301589","837823","2779275","14069516","10006000","5550924","0","2979250","928556","57","0","0","67574","37006","64204","6","20","378403","6157516","8609872","0","2174863","12381","22477533","1218245","19776740","1482548","2028381","4559","948123","47840058","90756"
"Rhode Island","2014","0","2974435","2567","1529371","906687","622684","95915","18383","138266","101590","268530","1109636","137528","69681","125652","1875971","948134","445703","245","9083","35224","51544","0","0","15486","30930","8489","93091","13988","244596","416518","650598","55003","238340","2537","2530414","35183","2196231","299000","206046","0","82288","9388127","33790"
"South Carolina","2014","0","9004192","21664","4628363","3370643","1257720","529655","162313","25632","28450","511670","3455706","366263","214192","318004","6418621","4383181","2059026","0","1514714","26832","342","0","164143","35164","37508","13811","0","0","531641","1332935","3788791","0","1417585","9092","6784106","275699","5922660","585747","932468","0","155065","14581374","56884"
"South Dakota","2014","0","1608496","0","1296748","914979","381769","138087","16205","61811","3709","161957","0","24819","76143","210786","983933","343122","273353","0","1144","2358","0","0","0","16331","2514","0","0","0","47422","571350","597276","0","129008","2653","1019176","81664","710656","226856","162837","1218","38465","3239167","21280"
"Tennessee","2014","0","11806329","0","8758085","6192281","2565804","845395","147812","261101","6840","1304656","239219","1176971","269317","1362737","3729046","2049151","1615648","0","23633","287","0","0","0","17709","33858","2397","0","2112","353507","1585393","3775381","47580","968970","10660","10160098","604511","8714163","841424","531656","6444","200102","6049178","62016"
"Texas","2014","0","55146619","0","45632367","32336032","13296335","3325916","1068051","1446144","652229","6803995","0","0","2177571","7336681","26296761","13260463","7068063","14","5128156","153455","0","0","0","42227","49155","14150","66","71204","733987","9266195","22512945","189237","2096571","22710","32229953","1732413","28073021","2424519","2592719","626211","929541","41855106","197088"
"Utah","2014","0","6312489","0","2682100","1823355","858745","372935","48413","113184","24319","299894","2889912","307910","175679","256888","4521419","3429006","1521921","0","1579629","780","204","0","0","12273","14910","3024","0","4658","291607","1399708","3659890","0","277885","6804","3296825","602305","2473991","220529","292590","1439","153979","7327147","9684"
"Vermont","2014","0","2962531","985478","1014960","354541","660419","103551","24065","71854","21791","439158","675240","105817","70398","110638","877532","581593","481060","0","0","529","0","0","0","2725","9847","5224","0","0","82208","233174","765706","0","238952","3771","1735953","30063","1107372","598518","332671","854","103483","3291205","2221"
"Virginia","2014","0","18930418","35561","6044328","3565789","2478539","694833","207672","180733","107394","1287907","10877689","740511","451215","781114","12491473","8635737","3937683","0","3576691","33408","0","0","383714","2364","22981","16942","0","0","661954","2674499","7291175","0","959069","18603","9613833","927769","8138824","547240","935463","9240","344994","27739117","133239"
"Washington","2014","0","19447899","1974354","15210264","11767488","3442776","1156242","321412","443185","497993","1023944","0","0","535636","1727645","7533133","4973659","2815008","0","1206918","324507","1","0","0","176449","2315","53495","0","0","394966","3108654","6280809","0","1383839","8604","9695130","511057","8025249","1158824","1871886","11888","385598","31601016","199297"
"West Virginia","2014","0","5386588","6651","2560993","1221966","1339027","441096","17295","101779","153588","625269","1770466","203508","2539","842431","2516016","1393149","846032","0","70300","95975","1043","0","0","38346","16420","7378","3057","711","313887","1075466","1637094","0","603346","3809","3702185","69402","3277350","355433","278200","10329","81889","7403453","27926"
"Wisconsin","2014","0","16364593","159069","7359539","4628338","2731201","1000595","57958","640728","379549","652371","6793269","981282","467502","603932","6813763","3966377","2001270","0","1414022","21512","35","3154","0","67401","44256","16508","78","780","397361","1897817","4647011","0","803366","0","9223892","313426","8273296","637170","448053","26937","127362","22367764","105492"
"Wyoming","2014","0","2263387","300096","925757","765543","160214","100889","1828","24490","4638","28369","0","0","71954","965580","1269287","239430","112384","0","367","9713","791","0","0","12476","1513","3177","0","2","99007","394614","474849","0","225074","5146","797231","16","616567","180648","335763","79","38508","929532","16169"
"Missouri","2015","0","12005133","30265","5084211","3380034","1704177","695145","36208","99436","0","873388","5856131","425776","278327","330423","5393070","2943748","1924569","0","799429","4886","0","0","0","11467","3257","16742","0","1","183397","1388105","3305630","0","826175","7918","8673821","119907","8101789","452125","1711260","3563","279773","19396172","41376"
"Montana","2015","0","2843465","268057","603200","0","603200","226806","33860","85042","47026","210466","1180478","168039","157999","465692","934143","477253","414794","0","1973","102","277","0","0","20250","1535","1186","0","0","37136","433014","817365","0","104923","6183","1459870","0","1364864","95006","209154","2199","68389","3206612","41558"
"Nebraska","2015","0","5086759","119","2315830","1787880","527950","327665","29873","63585","57349","49478","2239582","344477","101808","84943","1884388","1101655","712114","0","234384","1594","264","0","0","34080","7541","2150","0","99","109429","747469","1752603","0","228270","3429","2450383","29058","1768853","652472","241529","1110","75664","1809126","41038"
"Nevada","2015","0","7532989","242168","6038768","4080507","1958261","304364","43799","116840","24106","1469152","0","0","173550","1078503","1364967","752783","499033","0","2317","3215","0","0","0","8192","6421","5678","0","0","227927","610958","1467764","110858","391025","9497","3003691","53074","2662581","288036","237534","499","76113","3351972","67504"
"New Hampshire","2015","0","2487737","404579","970102","0","970102","146796","12328","236380","63528","511070","96038","576679","122490","317849","1802628","908542","601982","0","5980","163212","188","0","0","4705","20916","9961","2131","0","99467","398924","902074","0","199330","2265","1654140","76002","1316300","261838","98752","964","61865","8211178","32391"
"New Jersey","2015","0","31567654","4547","12951867","9146025","3805842","535550","138548","715556","964052","1452136","13250002","2579391","637074","2144773","11612476","6476025","2712821","4117","990844","1645269","11240","0","27577","3689","68262","116482","7600","39265","852976","5211819","5119078","2664065","2208096","4312","15252203","390894","11450329","3410980","2921218","15575","584760","67167455","195939"
"New Mexico","2015","0","6009443","108803","2995689","2256088","739601","240177","45735","79956","28470","345263","1381254","249947","181434","1092316","4299293","1683962","580947","0","980420","14330","0","0","0","13998","1248","1274","0","963","90782","1204458","2204629","4765","430571","0","5687488","57011","5272530","357947","699975","3343","120829","6738313","9957"
"New York","2015","0","78201753","0","23932517","13104421","10828096","1648106","250899","1306696","873449","6748946","43709832","5084187","1357402","4117815","25900356","10377889","2905213","0","5242126","816785","59009","0","10250","81790","297843","5559","0","218","959096","12892707","10287544","793","2190637","5170","49269290","0","48555475","713815","3105442","11467","738633","143880477","235694"
"North Carolina","2015","0","25084225","0","10733859","6862578","3871281","1924089","359880","276458","0","1310854","11197650","1330223","607531","1214962","8850925","5363174","3219622","0","1440155","37405","182","2156","36856","40453","12738","52839","0","405","520363","3419090","7615218","483526","1634111","7584","12812825","34723","12362760","415342","940473","4821","468407","17514428","60381"
"North Dakota","2015","0","5736355","3505","1935816","1389083","546733","232296","9485","32518","45272","227162","536131","186039","122799","2952065","1392033","790095","416172","0","6280","1577","1","0","0","28814","4960","3407","0","0","328884","1014130","1103481","0","116214","2579","1369079","65606","1159361","144112","121402","3735","36594","2063788","17912"
"Ohio","2015","0","28297156","0","17214405","11900176","5314229","1907996","101090","809640","1114159","1381344","8882973","2586","745550","1451642","12898849","8383534","4854776","0","3114492","287273","0","0","0","27439","17238","20640","0","0","61676","4785910","8817586","0","1497742","13558","23671199","341360","22375423","954416","1054809","34771","302026","33108954","129912"
"Oklahoma","2015","0","9692601","0","4032088","2682008","1350080","455288","116772","313852","49491","414677","3641429","388530","724318","906236","5081630","2699379","1940623","0","189584","248888","177","0","0","18758","22688","11104","0","1487","266070","2221135","3579851","0","567742","5499","6649614","126714","5523994","998906","781342","12649","181735","8918175","83322"
"Oregon","2015","0","10577079","20336","1498647","0","1498647","524665","17811","266247","83299","606625","7309115","621727","540392","586862","7557537","5333261","1576271","0","1997973","31485","0","0","0","137739","25101","5927","0","48","1558717","1482473","3356066","0","1280694","4923","9685822","296151","6415044","2974627","499544","8647","176291","13061182","56772"
"Pennsylvania","2015","0","36110311","41860","18369809","9865270","8504539","2731605","358887","978006","1268072","3167969","11488974","2510136","892817","2806715","15557812","10627891","5885580","0","3215416","983272","41","0","0","57823","36360","60324","0","51","389024","7610961","9040336","0","2381429","13836","22672299","1343874","19862898","1465527","2104133","7847","1021847","47920479","98469"
"Rhode Island","2015","0","3165635","2480","1620523","959513","661010","85801","19538","137980","105292","312399","1215368","176336","19987","130941","2000928","1069183","442989","168","8596","42738","53523","0","0","16250","29866","14755","95810","11921","352735","453035","647146","50945","233683","2411","2921494","30316","2628248","262930","203133","0","87957","9004835","35443"
"South Carolina","2015","0","9598478","26394","4845230","3568788","1276442","546370","166501","25482","28483","509606","3695701","377329","212246","441578","6513399","4671714","2167056","0","1617962","25832","387","0","196759","28322","35779","11564","0","0","588053","1361763","4042360","0","1409660","9381","7589510","333974","6603104","652432","1011386","0","157287","14738437","55846"
"South Dakota","2015","0","1674108","0","1372682","970784","401898","148170","16690","61004","3267","172767","0","4334","80835","216257","930205","353608","286456","0","1089","2039","0","0","0","16556","2874","0","0","0","44594","555168","610928","0","134319","2736","1097782","83429","762172","252181","141119","1386","43320","3346046","21458"
"Tennessee","2015","0","12698496","0","9196721","6548032","2648689","857605","159768","263566","8153","1359597","302196","1400973","278716","1519890","4051159","2058062","1599089","0","25860","290","0","0","0","15738","35714","1168","0","1293","378910","1547913","3913615","79660","858083","10922","10698130","587121","9254591","856418","548664","5411","208472","7120773","64765"
"Texas","2015","0","55086438","0","47654182","33664187","13989995","3462288","1147565","1491765","654641","7233736","0","0","2107627","5324629","25676003","14201638","7051018","16","6187117","177277","0","0","0","44362","50656","14960","112","69876","606260","9184944","22940418","142197","2250132","23742","35000375","1697953","30755080","2547342","2339903","558242","1000389","48038004","193613"
"Utah","2015","0","6703356","0","2766724","1882901","883823","377390","51221","115761","24798","314653","3157718","368681","176458","233775","4919281","3757495","1610207","0","1817356","923","422","0","0","12703","15544","2543","0","4134","293663","1521056","3950995","0","287874","7096","3409524","592322","2588962","228240","291746","2069","144063","7479978","10892"
"Vermont","2015","0","3043152","1035611","1026188","366667","659521","85619","24839","76755","18277","454031","709310","112643","70033","89367","884116","601179","515379","0","0","513","0","0","0","2889","10460","4429","0","0","67509","282154","761518","0","257620","3449","1767690","48841","1095326","623523","351287","1119","113361","3388764","2578"
"Virginia","2015","0","20536885","32712","6495087","3793215","2701872","755681","257229","177588","131270","1380104","11903945","817851","449616","837674","13753452","9499709","4108463","0","4383532","41549","58","0","440842","10521","26941","22323","0","0","465480","3437552","7705225","0","1071652","16670","9361540","338423","8398782","624335","893316","10983","368058","28231613","82881"
"Washington","2015","0","20644454","2018393","16241234","12517831","3723403","1247817","331405","474183","483211","1186787","0","0","564178","1820649","7670176","5090011","2797407","0","1362279","339717","3","0","0","135990","2367","58411","0","0","393837","3159804","6570975","0","1360774","7379","11355434","475772","9715992","1163670","2072982","12783","417155","32231967","183710"
"West Virginia","2015","0","5565985","6679","2619323","1293327","1325996","433877","18159","102188","152167","619605","1932457","188758","2409","816359","2466978","1426708","851583","0","70033","96875","489","0","0","25848","15127","7618","8149","1308","349678","835786","1646293","0","508335","13897","4629119","336851","3756165","536103","223492","9811","73554","8161669","23067"
