"State","Year","From State government1","Taxes","Property","Sales and gross receipts","General sales","Selective sales","Motor fuel","Alcoholic beverage","Tobacco products","Public utilities","Other selective sales","Individual income","Corporate income","Motor vehicle license","Other taxes","Charges and miscellaneous general revenue","Current charges","Education","School lunch sales (gross)","Hospitals","Highways","Air transportation (airports)","Parking facilities","Sea and inland port facilities","Natural resources","Parks and recreation","Housing and community development","Sewerage","Solid waste management","Other charges","Capital outlay","Higher education","Elementary & secondary","Other education","Libraries","Public welfare","Cash assistance payments","Vendor payments","Other public welfare","Health","Veterans' services","Police protection","Debt outstanding","Employment security administration"
"Kansas","2012","0","7418341","74413","3685595","2825880","859715","435049","118202","103639","317","202508","2891743","317578","184515","264497","3628478","2616942","926417","0","1323984","90919","0","0","0","32114","830","5778","0","0","236900","1059109","2343135","0","249505","2177","3021299","79152","2484120","458027","385664","10832","91014","6860094","31478"
"Kentucky","2012","0","10619106","529567","5147889","3052236","2095653","790229","118253","276544","64919","845708","3512075","575164","188714","665697","4099255","2887299","1335500","0","1120992","56926","1027","0","0","59951","62708","14700","0","979","234516","1919697","3748805","615674","819623","8368","7136353","243796","6169343","723214","412928","45121","195907","15103515","135772"
"Louisiana","2012","0","8994053","50937","4888854","2815919","2072935","575063","56869","133194","12796","1295013","2474606","290389","132032","1157235","5186839","2718124","1163586","0","1275027","36039","181","0","65507","27364","77657","2678","0","0","70085","2516162","3099330","4427","833719","9057","6324015","100376","5455396","768243","432067","5584","220501","18728928","153794"
"Maine","2012","0","3777130","38360","1748815","1064342","684473","242124","17352","139729","28548","256720","1441926","232118","99135","216776","1482490","945540","333262","0","109677","114670","86","0","0","14170","1430","10270","0","0","361975","389895","798638","9553","173785","4356","3006623","81178","1986727","938718","240565","86","73765","5605606","66847"
"Maryland","2012","0","17094560","755937","7173515","4076578","3096937","733410","31010","411427","127106","1793984","7116605","880356","443956","724191","5780095","3236327","1871040","0","179102","433697","200713","0","53295","14749","25998","8144","110520","0","339069","2396873","4637432","27","688371","15801","9823911","1385185","7498048","940678","1299016","2401","437506","25812859","72076"
"Massachusetts","2012","0","22820892","4441","7312892","5079105","2233787","661974","77861","573759","23925","896268","11954838","2001780","376552","1170389","8973594","4688409","2270971","83","105","817973","575999","0","73334","19843","49678","3072","410552","0","466882","3905632","4753193","39277","1073614","14499","16158083","625527","14425774","1106782","883566","67153","728027","70606494","374760"
"Michigan","2012","0","23919741","1911188","12654547","8933937","3720610","951176","149629","964748","27865","1627192","6921033","804037","912032","716904","10901144","7060490","4235623","0","2608076","28026","649","0","0","30665","5510","8957","0","0","142984","2269554","8973063","53038","1004210","7659","11989364","390127","10185880","1413357","1168975","0","267888","30823672","195151"
"Minnesota","2012","0","20560540","807700","9139154","4942140","4197014","849218","79389","421545","49","2846813","7988084","1066022","631436","928144","4226468","2536023","1863903","0","294109","3125","1298","0","0","40163","28651","11875","0","0","292899","1430240","4391339","0","951104","119","11358094","495218","10270192","592684","230461","11155","259323","13230223","52155"
"Mississippi","2012","0","6953365","23982","4396669","3072243","1324426","417048","42183","157433","1894","705868","1501267","395679","134477","501291","2272045","1694539","751049","0","735169","1772","0","0","16356","44855","7525","1341","0","0","136472","1252894","1954760","0","419013","2859","5050364","60587","4546976","442801","357440","8017","105400","7194251","82955"
"Alabama","2013","0","9270919","325652","4708518","2331676","2376842","530244","174395","120110","737619","814474","3202520","382202","204960","447067","5126850","3931283","2132262","0","1527038","764","52","0","147508","8784","6409","12259","0","6232","89975","2276020","4977347","0","2046078","3430","7697247","1530516","5551910","614821","482559","7438","114472","9094764","97961"
"Alaska","2013","0","5132811","99598","249586","0","249586","41608","39194","69175","4295","95314","0","630941","58822","4093864","4393092","623797","195529","0","3803","65938","108438","0","8","26055","2907","11426","0","0","209693","1460784","969540","499633","142456","8489","1994505","172579","1554015","267911","210814","52512","140109","6218363","48632"
"Arizona","2013","0","13796918","762651","8513034","6792635","1720399","781426","68684","315428","21013","533848","3397707","662026","193816","267684","5124061","3381853","1869466","0","1173082","9251","805","0","0","22261","22801","4937","0","2906","276344","1568048","3631654","0","1847357","923","8215971","84427","6916448","1215096","1836392","9933","220146","14186861","96683"
"Arkansas","2013","0","8586767","1022066","4019203","2837788","1181415","455914","50656","237328","0","437517","2649577","402874","149982","343065","2951260","2111271","938895","0","906107","5827","26","0","0","21919","23858","384","0","54","214201","1049266","2607159","0","583796","2839","5094028","16574","4557052","520402","239862","1177","100742","3947169","94063"
"California","2013","0","133184246","1982208","48074580","33915885","14158695","5492850","357000","868703","676997","6763145","66809000","7462000","3579253","5277205","28412101","18354538","7386889","0","7445366","34283","0","9718","0","1215809","102735","692","0","0","2159046","9367080","25062006","323265","5133620","20296","51826262","0","46696816","5129446","1569136","8754","1580444","152186012","517095"
"Colorado","2013","0","11255253","0","4289135","2416731","1872404","626619","39217","197026","11528","998014","5528485","652180","462676","322777","5251468","3194354","2399798","0","566873","5633","0","0","0","20180","18341","2698","0","4782","176049","1485834","4533168","0","647215","4505","5005756","0","4568180","437576","954398","2583","154567","16379990","75354"
"Connecticut","2013","0","16046433","0","6637162","3838385","2798777","497013","60416","399885","340920","1500543","7811949","568632","209745","818945","3695234","2097620","1231659","0","332577","9782","41293","6735","337","31503","22595","10963","0","119866","290310","1922346","2609964","0","714623","10528","6114067","201200","5080638","832229","651593","29496","208956","32356807","17347"
"Delaware","2013","0","3346316","0","487202","0","487202","112616","18412","115191","58866","182117","1130501","309644","51237","1367732","2481558","1162162","784005","0","8185","174298","0","0","36750","1286","11511","8861","0","55796","81470","616061","1252274","0","380527","7310","1927748","39728","1595433","292587","415909","0","133794","5754587","18417"
"District of Columbia","2013","0","6180879","1969718","1511078","1085547","425531","22391","5945","33991","199213","163991","1640899","453280","36219","569685","1796084","665615","32188","696","106819","51","0","42014","0","0","28927","29382","263466","4971","157797","2813646","158707","2367191","0","60102","3192152","148892","2548362","494898","447400","0","559765","12407667","54533"
"Florida","2013","0","35432266","360","29370441","20785507","8584934","2332191","486278","1227200","3045930","1493335","0","2071710","1227158","2762597","15441892","8992577","2444991","0","698634","1343432","0","0","0","83599","43855","0","0","25281","4352785","5190234","6695634","0","3290833","9780","22528036","191263","20517976","1818797","3763754","7274","513947","37896730","358667"
"Georgia","2013","0","17947813","201834","7408422","5277211","2131211","1000626","180786","211618","0","738181","8772227","797255","457490","310585","6004003","3698766","2655830","0","217960","27021","213","0","292586","60794","103274","2165","0","0","338923","2616499","6257353","0","2615812","0","10651998","85893","9541719","1024386","927767","8395","289557","13292965","63052"
"Hawaii","2013","0","6111278","0","3932220","2944487","987733","92516","48962","112104","163930","570221","1735718","123661","175341","144338","2524793","1630446","415811","25894","554362","2887","372688","2578","104376","21504","10956","18015","0","0","127269","942285","1410793","1864525","114571","29597","2113411","3201","1678763","431447","445894","0","30459","8318403","6049"
"Idaho","2013","0","3578068","0","1772300","1324182","448118","244738","8588","49324","1920","143548","1292562","200340","133204","179662","1407484","870005","398851","0","52489","6685","8","0","0","63265","7830","16676","0","0","324201","619500","923661","0","187462","4978","2390140","58768","1842594","488778","261894","0","49562","3647841","47477"
"Illinois","2013","0","40419375","61806","16409794","9849056","6560738","1259834","279928","857110","1638578","2525288","16538662","4462627","1584922","1361564","9615293","4910081","3051665","0","699223","971603","0","0","0","18047","5126","37022","0","0","127395","4040172","6533071","0","1692932","5023","19500560","217388","16648934","2634238","1327568","14134","403527","63660340","110176"
"Indiana","2013","0","16881138","7008","10345746","6805069","3540677","803376","45248","461637","238777","1991639","4972810","781585","210622","563367","5331902","3331745","3224709","0","16","2172","0","0","10649","46945","24483","6061","0","0","16710","2459127","5884106","0","976021","7627","10799068","79267","9788994","930807","462412","2854","218200","22564017","100837"
"Iowa","2013","0","8681675","0","3916290","2827371","1088919","440365","13865","226300","0","408389","3436758","428554","540619","359454","6191933","2895997","1319944","0","1358903","90","1199","0","0","97431","3874","15012","0","3994","95550","1510405","2713830","0","455414","4667","4757141","250089","4046525","460527","107178","1452","89386","6679143","47736"
"Kansas","2013","0","7620282","79475","3742916","2897033","845883","415352","119462","98985","321","211763","2956588","384553","205760","250990","4112799","2806326","986198","0","1450912","93941","0","0","0","34236","930","4801","0","0","235308","1075334","2291839","0","254362","5755","3127222","67865","2499558","559799","286750","10818","101439","6825293","33637"
"Kentucky","2013","0","10875039","558377","5169541","3021794","2147747","838344","121753","260358","67197","860095","3722964","646875","184760","592522","4306575","2979202","1382451","0","1191867","58721","1027","0","0","50130","61250","12784","0","932","220040","1974980","3781012","638866","891187","8298","6985381","241476","5999035","744870","404913","50413","216396","14983712","141857"
"Louisiana","2013","0","9223829","52686","4974642","2825752","2148890","583025","56879","161554","9680","1337752","2739983","252430","105963","1098125","6019054","2965245","1262143","0","1305159","43224","182","0","67474","101341","81439","2915","0","0","101368","2110012","3039239","4553","820702","6990","7225410","78909","6418869","727632","411512","5449","210947","18582828","140863"
"Maine","2013","0","3884450","38636","1779873","1071886","707987","237675","17518","137952","29599","285243","1531504","171987","107906","254544","1448152","938659","341461","0","95607","115782","140","0","0","16864","1202","8199","0","0","359404","377099","791682","12091","173026","3430","3009874","65830","2056728","887316","236261","130","74436","5374528","64126"
"Maryland","2013","0","18118191","750927","7347048","4114296","3232752","740556","30867","415922","123431","1921976","7693324","952092","450618","924182","6114485","3431280","1929948","0","175826","502884","208097","0","48995","18268","34587","9057","97869","0","405749","2538420","4365054","32","729905","18188","10078087","1476721","7577501","1023865","1239005","5716","486944","26066617","56813"
"Massachusetts","2013","0","23901047","4795","7455326","5184312","2271014","651375","77357","558297","23738","960247","12876192","1888449","381189","1295096","8801743","4847039","2390179","83","94","800770","583104","0","76629","19333","50321","3483","418181","0","504945","3742119","4899833","32554","1147375","15023","16736701","599770","15001234","1135697","796761","73490","749384","70423629","285488"
"Michigan","2013","0","24936087","1879024","12298069","8465895","3832174","956173","138900","958961","35653","1742487","8126352","895183","943486","793973","11399427","7391002","4415930","0","2793437","31808","731","0","0","35527","5480","6205","0","0","101884","2008661","8878246","40131","1036535","9439","12095185","319757","9973793","1801635","1194600","0","371309","30377220","191770"
"Minnesota","2013","0","22895574","815756","9931483","5711442","4220041","888010","73053","380304","50","2878624","9329085","1223309","624736","971205","4341460","2391061","1896932","0","138453","4104","1374","0","0","44967","32583","13902","0","0","258746","1700526","4648241","0","1013477","0","10559309","451625","9498247","609437","291163","9821","281130","13674984","56082"
