GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "08000","Colorado",7,SAGDP3N,48,"515,517","   Broadcasting (except Internet) and telecommunications ","Thousands of dollars",550347,672418,843966,883879,777747,737168,719745,621493,619392,589459,451282,428697,447510,483365,449239,395005,401347,427553,466802,482552,492038,493517,501330,486647,483215,494870,432420
 "08000","Colorado",7,SAGDP3N,49,"518-519","   Data processing, hosting, and other information services ","Thousands of dollars",13620,10455,13074,24792,30833,28887,27222,27726,28971,29522,32068,37223,38279,49299,57553,52260,52665,58996,61515,70352,86270,95625,112372,29686,110108,144532,135222
 "08000","Colorado",7,SAGDP3N,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",1627284,1705504,1800624,1979437,2075061,2358516,2355626,2731362,2835948,3134360,3299434,3284585,3367405,4094487,4226651,3556101,3664403,3889689,4118924,4525675,4826424,5374846,5927906,5810811,6352638,7338581,7921875
 "08000","Colorado",7,SAGDP3N,51,"52","   Finance and insurance ","Thousands of dollars",322414,337109,368335,389792,390790,424485,436514,447414,488164,472485,529741,556590,555116,630805,624964,570174,596206,723334,817479,881505,705605,977697,797330,854073,732921,903365,964637
 "08000","Colorado",7,SAGDP3N,52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services ","Thousands of dollars",100038,116147,126665,134091,133018,154064,165154,168147,175870,177227,198648,198695,214916,271201,260564,231562,235588,215602,233189,262260,271651,289797,277559,219573,251587,291634,294869
 "08000","Colorado",7,SAGDP3N,53,"523","    Securities, commodity contracts, and other financial investments and related activities ","Thousands of dollars",24535,28342,35360,43059,58083,51538,41946,34078,50471,47787,66933,76573,55669,65723,55706,38636,41198,38002,42875,48337,52520,62071,59075,-27417,42656,75709,77745
 "08000","Colorado",7,SAGDP3N,54,"524","    Insurance carriers and related activities ","Thousands of dollars",181238,172860,180515,185395,192660,214010,225203,240052,255990,240455,248963,261930,269191,275779,287389,278243,299198,456469,528666,560328,366093,613376,448458,659575,434179,527605,582857
 "08000","Colorado",7,SAGDP3N,55,"525","    Funds, trusts, and other financial vehicles ","Thousands of dollars",16603,19760,25795,27247,7029,4874,4211,5137,5833,7017,15198,19392,15339,18103,21305,21733,20222,13261,12749,10581,15341,12452,12238,2342,4499,8417,9167
 "08000","Colorado",7,SAGDP3N,56,"53","   Real estate and rental and leasing ","Thousands of dollars",1304871,1368395,1432288,1589646,1684271,1934031,1919113,2283948,2347783,2661875,2769693,2727995,2812290,3463682,3601687,2985927,3068197,3166356,3301444,3644170,4120819,4397149,5130576,4956738,5619717,6435216,6957238
 "08000","Colorado",7,SAGDP3N,57,"531","    Real estate ","Thousands of dollars",1206114,1228109,1298041,1438715,1541738,1788311,1773339,2135244,2193714,2497782,2591085,2542899,2633212,3240988,3367629,2755679,2832126,2921072,3047773,3368825,3809454,4064327,4793779,4706166,5308361,6048072,6555821
 "08000","Colorado",7,SAGDP3N,58,"532-533","    Rental and leasing services and lessors of nonfinancial intangible assets ","Thousands of dollars",98757,140286,134247,150930,142533,145719,145774,148704,154070,164093,178608,185096,179078,222694,234058,230248,236071,245283,253672,275345,311365,332822,336797,250572,311356,387144,401417
 "08000","Colorado",7,SAGDP3N,59,"54,55,56","  Professional and business services ","Thousands of dollars",239933,264918,312189,355644,360974,364723,362106,384091,447772,443460,493618,508064,480577,644204,637961,518320,515880,485555,509566,551299,589128,633551,696841,-1429396,-98681,876242,929801
 "08000","Colorado",7,SAGDP3N,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",125548,144810,172607,201528,222101,218184,213059,225130,281082,273788,295552,314472,276148,379436,370209,294482,306375,294976,308006,338683,358137,391601,431410,-1038025,-103953,571900,611363
 "08000","Colorado",7,SAGDP3N,61,"5411","    Legal services ","Thousands of dollars",3847,3762,4016,4344,11378,12107,11463,12228,65305,62118,43183,71038,33133,36649,30638,26249,30830,25720,29421,30255,30500,32879,32272,-128350,-25631,52643,47132
 "08000","Colorado",7,SAGDP3N,62,"5415","    Computer systems design and related services ","Thousands of dollars",44892,55967,72781,93902,87063,75338,66391,69829,65881,64272,74445,72582,66870,96704,96953,77052,80787,84503,88844,99103,104980,117453,127886,-132661,38241,192618,205103
