GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "98000","Far West",8,SAGDP3N,64,"55","   Management of companies and enterprises ","Thousands of dollars",642196,704873,740505,835689,768307,752227,723160,763395,690256,702358,773004,921602,927496,873074,846322,824586,906466,888349,962441,1067142,1044048,1155738,1232575,1072347,1383816,1732994,1857319
 "98000","Far West",8,SAGDP3N,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",904207,956479,1025444,1088510,1135802,1188002,1180027,1348299,1399936,1514195,1652057,1781383,1786353,1856084,1927147,2028854,2144125,2224360,2343862,2513759,2593789,2800654,3507482,-656103,1382567,3790520,3971655
 "98000","Far West",8,SAGDP3N,66,"561","    Administrative and support services ","Thousands of dollars",533047,571027,626310,644764,732984,743100,728207,834546,851041,918916,979278,1064871,1016450,1023892,1080325,1131607,1215902,1295616,1379385,1508047,1571515,1645077,2214548,-1595553,158621,2353969,2444645
 "98000","Far West",8,SAGDP3N,67,"562","    Waste management and remediation services ","Thousands of dollars",371159,385452,399133,443746,402818,444902,451819,513753,548895,595279,672780,716512,769903,832191,846822,897247,928223,928744,964477,1005712,1022274,1155577,1292935,939449,1223945,1436551,1527010
 "98000","Far West",8,SAGDP3N,68,"61,62","  Educational services, health care, and social assistance ","Thousands of dollars",1753468,1879987,1966512,2186955,2418522,2717941,2752355,3112672,3233799,3460176,3788853,4518500,4909778,4693318,4093287,4443125,4505260,4571209,5028064,5501562,5779593,6348618,7020515,-6512771,-6680025,4894162,6817787
 "98000","Far West",8,SAGDP3N,69,"61","   Educational services ","Thousands of dollars",419133,453275,483157,533134,511076,578054,592211,656966,662381,725875,800755,1014512,1117490,1110437,1127774,1113917,1134003,1124261,1144088,1220655,1253942,1386030,1528655,608210,272317,1830941,1974898
 "98000","Far West",8,SAGDP3N,70,"62","   Health care and social assistance ","Thousands of dollars",1334335,1426711,1483355,1653821,1907446,2139887,2160144,2455705,2571417,2734301,2988098,3503989,3792288,3582880,2965513,3329208,3371257,3446948,3883976,4280908,4525651,4962588,5491860,-7120981,-6952342,3063222,4842889
 "98000","Far West",8,SAGDP3N,71,"621","    Ambulatory health care services ","Thousands of dollars",823441,861298,886476,1026961,904361,1033924,982168,1142567,1263710,1328364,1355884,1557413,1666551,1688011,1684223,1699614,1742188,1783909,1899339,1968647,1994179,2221011,2450845,-6536680,-4708116,1774020,2955088
 "98000","Far West",8,SAGDP3N,72,"622","    Hospitals ","Thousands of dollars",300455,334205,353771,369812,639577,717376,778203,884438,871676,937921,1086583,1298452,1449788,1210109,581221,850836,809479,821795,1091515,1324915,1474815,1638535,1815980,979069,1459292,1955611,2310977
 "98000","Far West",8,SAGDP3N,73,"623","    Nursing and residential care facilities ","Thousands of dollars",114263,123445,129053,136949,216617,238419,248453,262681,270730,294213,345094,416006,441908,452732,462927,484484,498477,510968,546087,605769,655326,683624,757370,-585247,-43983,894874,1074625
 "98000","Far West",8,SAGDP3N,74,"624","    Social assistance ","Thousands of dollars",96176,107762,114055,120098,146891,150167,151320,166020,165302,173803,200536,232117,234041,232028,237142,294273,321113,330276,347035,381577,401331,419418,467665,-978123,-3659536,-1561283,-1497801
 "98000","Far West",8,SAGDP3N,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",7581696,7850550,8302457,8771507,9176027,9397045,9697753,10629282,11169209,12406001,13024080,13247605,12890155,13648974,13927326,13438334,14613106,16102087,18396968,19744533,21473771,22831404,24664050,8981716,-615247,26952992,29843324
 "98000","Far West",8,SAGDP3N,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",1311449,1414688,1573491,1684608,1746970,1844159,1950857,2195791,2314434,2616013,2798347,2723532,2587032,2499860,2643018,2693729,2769710,2943587,3027474,3232808,3468529,3720824,4071956,2130760,-563997,4184034,5473251
 "98000","Far West",8,SAGDP3N,77,"711-712","    Performing arts, spectator sports, museums, and related activities ","Thousands of dollars",545892,596823,693769,730682,845442,896352,988916,1101339,1124523,1224037,1279143,1235669,1149280,1109850,1150658,1160416,1181426,1235629,1274403,1434579,1328286,1343183,1408736,581852,-2590471,584299,1589939
 "98000","Far West",8,SAGDP3N,78,"713","    Amusement, gambling, and recreation industries ","Thousands of dollars",765557,817865,879722,953926,901528,947807,961941,1094452,1189910,1391976,1519204,1487863,1437751,1390010,1492361,1533313,1588285,1707958,1753071,1798228,2140244,2377641,2663219,1548908,2026473,3599734,3883311
